ac_name,ac_no.,type,district,winning_candidate,party,total_electors,total_votes,poll_pct,margin,margin_pct
Thiruvottiyur,10,GEN,Thiruvallur,K.P.Shankar,DMK,"287,777","198,885",69.10,"37,661",18.90
Thiyagarayanagar,24,GEN,Chennai,Karunanithi J,DMK,"231,382","136,497",59.00,137,0.10
Thondamuthur,119,GEN,Coimbatore,S.P. Velumani,AIADMK,"308,153","228,896",74.30,"41,630",18.20
Thoothukkudi,214,GEN,Thoothukkudi,P.Geetha Jeevan,DMK,"279,188","186,838",66.90,"50,310",26.90
Thousand Lights,20,GEN,Chennai,Ezhilan N,DMK,"233,867","134,555",57.50,"32,462",24.10
Thuraiyur,146,SC,Tiruchirappalli,S.Stalinkumar,DMK,"218,430","174,282",79.80,"22,071",12.70
Tindivanam,72,SC,Viluppuram,Arjunan P,AIADMK,"221,033","181,015",81.90,"9,753",5.40
Tiruchendur,215,GEN,Thoothukkudi,Anitha R. Radhakrishnan,DMK,"234,874","173,485",73.90,"25,263",14.60
Tiruchengodu,96,GEN,Namakkal,Eswaran E R,DMK,"222,373","183,151",82.40,"2,862",1.60
Tiruchirappalli (East),141,GEN,Tiruchirappalli,"Inigo Irudayaraj,s.",DMK,"247,148","171,321",69.30,"53,797",31.40
Tiruchirappalli (West),140,GEN,Tiruchirappalli,"Nehru, K.N.",DMK,"260,130","180,982",69.60,"85,109",47.00
Tiruchuli,208,GEN,Virudhunagar,Thangam Thenarasu,DMK,"213,068","172,071",80.80,"60,992",35.40
Tirukkoyilur,76,GEN,Viluppuram,K.Ponmudy,DMK,"246,907","194,178",78.60,"59,680",30.70
Tirunelveli,224,GEN,Tirunelveli,Nainar Nagenthran,BJP,"278,329","195,496",70.20,"23,107",11.80
Tirupattur,50,GEN,Vellore,A. Nallathambi,DMK,"229,174","184,298",80.40,"28,240",15.30
Tiruppattur,185,GEN,Sivaganga,Kr.Periyakaruppan,DMK,"281,221","209,913",74.60,"37,374",17.80
Tiruppur (North),113,GEN,Coimbatore,Vijeyakumar.K.N,AIADMK,"354,414","235,930",66.60,"40,102",17.00
Tiruppur (South),114,GEN,Coimbatore,Selvaraj. K.,DMK,"261,872","173,276",66.20,"4,709",2.70
Tiruttani,3,GEN,Thiruvallur,S.Chandran,DMK,"276,906","230,959",83.40,"29,253",12.70
Tiruvadanai,210,GEN,Ramanathapuram,Karumanickam,INC,"279,531","201,047",71.90,"13,852",6.90
Tiruvannamalai,63,GEN,Tiruvannamalai,E V Velu,DMK,"274,359","206,642",75.30,"94,673",45.80
Tittakudi,151,SC,Cuddalore,"Ganesan, C.V.",DMK,"213,980","167,185",78.10,"21,563",12.90
Udhagamandalam,108,GEN,The Nilgiris,"Ganesh, R.",INC,"201,429","139,726",69.40,"5,348",3.80
Udumalaipettai,125,GEN,Coimbatore,"Radhakrishnan,k.",AIADMK,"257,707","192,880",74.80,"21,895",11.40
Ulundurpettai,77,GEN,Viluppuram,Manikannan A J,DMK,"282,798","242,573",85.80,"5,256",2.20
Usilampatti,197,GEN,Madurai,Ayyappan P,AIADMK,"274,840","211,481",76.90,"7,477",3.50
Uthangarai,51,SC,Krishnagiri,T.M.Tamilselvam,AIADMK,"227,710","186,864",82.10,"28,387",15.20
Uthiramerur,36,GEN,Kancheepuram,Sundar K,DMK,"247,035","209,577",84.80,"1,622",0.80
Valparai,124,SC,Coimbatore,Amulkandasami T K,AIADMK,"198,211","143,757",72.50,"12,223",8.50
Vandavasi,69,SC,Tiruvannamalai,Ambethkumar S,DMK,"230,358","184,205",80.00,"35,953",19.50
Vaniyambadi,47,GEN,Vellore,G.Sendhil Kumar,AIADMK,"237,690","188,505",79.30,"4,904",2.60
Vanur,73,SC,Viluppuram,Chakrapani M,AIADMK,"220,185","180,845",82.10,"21,727",12.00
Vasudevanallur,220,SC,Tirunelveli,"Sadhan Thirumalaikumar, Doctor.T",DMK,"229,421","173,710",75.70,"2,367",1.40
Vedaranyam,165,GEN,Nagapattinam,O.S.Manian,AIADMK,"184,292","157,387",85.40,"12,329",7.80
Vedasandur,133,GEN,Dindigul,Gandhirajan S,DMK,"253,655","212,277",83.70,"17,553",8.30
Veerapandi,91,GEN,Salem,"Rajamuthu, M.",AIADMK,"248,943","222,293",89.30,"19,895",8.90
Velachery,26,GEN,Chennai,Jmh.Aassan Maulaana,INC,"300,466","174,972",58.20,"4,352",2.50
Vellore,43,GEN,Vellore,Karthikeyan .P,DMK,"245,491","178,458",72.70,"9,181",5.10
Veppanahalli,54,GEN,Krishnagiri,K.P.Munusamy,AIADMK,"238,757","203,479",85.20,"3,054",1.50
Vikravandi,75,GEN,Viluppuram,Pugazhenthi N,DMK,"223,362","192,495",86.20,"9,573",5.00
Vilathikulam,213,GEN,Thoothukkudi,Markandayan V,DMK,"209,256","166,133",79.40,"38,549",23.20
Vilavancode,233,GEN,Kanniyakumari,Vijayadharani S,INC,"242,916","167,054",68.80,"28,669",17.20
Villivakkam,14,GEN,Chennai,A . Vetriazhagan,DMK,"248,131","142,648",57.50,"37,237",26.10
Villupuram,74,GEN,Viluppuram,Lakshmanan R,DMK,"249,865","203,890",81.60,"14,868",7.30
Viralimalai,179,GEN,Pudukkottai,Vijaya Basker C,AIADMK,"213,462","193,038",90.40,"23,598",12.20
Virudhunagar,206,GEN,Virudhunagar,Seenivasan A.R.R,DMK,"212,379","160,147",75.40,"21,339",13.30
Virugampakkam,22,GEN,Chennai,Amv.Prabhakara Raja,DMK,"273,740","167,524",61.20,"18,367",11.00
Vriddhachalam,152,GEN,Cuddalore,Radhakrishnan,INC,"242,427","195,973",80.80,862,0.40
Yercaud,83,ST,Salem,G. Chitra,AIADMK,"273,284","236,945",86.70,"25,955",11.00
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
